titulo,ano,paginas,adulto,artes,autoajuda,aventura,biografia,comunicação,contos,crime,crônica,culinária,decoração,drama,economia,ensaios,entretenimento,erótico,fantasia,ficção,filosofia,história,infantil,infantojuvenil,brasileira,estrangeira,matemática,memórias,música,não-ficção,poesias,policial,política,psicologia,religião,romance,saúde,sexo,sociologia,suspense,terror,viagens,gender,ratingcurrent,resenhas,abandonos,relendo,querem_ler,lendo,leram,favoritos,desejados,trocam,avaliaram
A Última Festa (e-Book),2020,304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,F,3.7,1.391,153,1,9.879,621,7.389,264,1.503,19,6.434
Uma chance de lutar,2020,400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,3.8,0,1,0,93,9,19,0,11,4,16
Uma Dor Tão Doce,2020,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.5,145,38,1,1.770,66,512,23,221,3,452
A Última Festa,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,F,3.7,1.391,153,1,9.879,621,7.389,264,1.503,19,6.434
Coragem,2020,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,43,1,3,726,24,310,35,92,3,289
A Convenção das Aves,2020,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,153,2,3,3.404,89,971,103,1.044,4,796
Como o Cérebro Cria,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,F,4.1,8,1,2,1.690,50,40,6,146,1,36
1793,2020,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,4.1,54,4,2,1.680,32,230,20,400,2,191
Para Todos os Garotos que Já Amei,2020,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,1.763,435,126,44.709,2.045,61.457,8.094,5.825,207,31.544
P.S.: Ainda Amo Você,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,1.211,386,56,24.562,1.531,42.776,4.559,3.980,106,23.652
O Livro de Líbero,2020,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.8,208,6,0,702,39,611,55,153,3,626
Terra Americana,2020,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,29,1,1,607,18,143,15,118,2,120
Você não merece ser feliz,2020,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,62,1,0,509,58,373,25,63,2,295
O Livro De Líbero,2020,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.8,208,6,0,702,39,611,55,153,3,626
Princípios Para O Sucesso,2020,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,1,0,0,34,0,15,2,4,2,14
Black Hammer (Vol #4),2020,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,4.1,32,1,0,450,7,428,29,75,0,367
As Outras Pessoas,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,F,4.2,507,20,1,4.586,151,2.322,197,902,4,2.044
A Grande Gripe,2020,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,F,4.0,9,1,0,1.012,53,64,4,124,1,68
The Outsiders,2020,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.5,145,18,2,2.143,65,1.961,498,364,3,1.369
SuperNormal,2020,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,2,0,0,216,1,3,2,18,1,11
Inimigo Mortal,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,0,0,0,395,3,8,2,29,2,11
O Silêncio da Cidade Branca,2020,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,F,4.3,51,2,0,1.748,16,129,15,349,2,169
A Casa Holandesa,2020,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,243,10,1,2.713,104,1.047,86,492,4,936
A Ultima Festa,2020,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,1.391,153,1,9.879,621,7.389,264,1.503,19,6.434
A Tumba do Tirano,2020,368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,218,4,6,3.607,154,2.417,221,834,1,1.788
Coraline,2020,224,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,F,4.3,2.201,234,80,32.525,1.357,37.255,5.056,6.393,26,23.745
Sol da Meia-Noite,2020,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,1.523,279,13,8.282,2.717,8.457,1.478,1.660,10,6.897
Malorie,2020,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,F,4.0,537,9,0,4.249,207,2.479,206,872,10,2.193
Observações sobre um planeta nervoso,2020,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,F,4.2,21,0,0,1.186,28,122,14,205,2,110
Onde os sonhos acontecem,2020,304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,9,0,0,173,13,68,7,29,0,60
A Vida Mentirosa dos Adultos,2020,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,354,26,1,3.995,285,2.045,99,624,2,1.702
Capital e Ideologia,2020,1056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,M,4.5,0,2,0,332,12,12,4,55,1,9
A vida mentirosa dos adultos,2020,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,354,26,1,3.995,285,2.045,99,624,2,1.702
O Árabe do Futuro,2020,288,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.8,7,0,0,137,4,68,15,57,1,58
"Com Amor, Creekwood",2020,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.8,141,5,1,1.717,40,765,43,318,3,654
A Dança da Água,2020,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,143,24,0,1.619,99,547,28,276,5,508
Relatório da Desigualdade Mundial 2018,2020,458,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,F,0,0,0,0,3,0,0,0,0,0,0
Os Dois Mundos de Isabel,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,18,0,0,616,8,123,13,141,2,104
Cartas para Martin,2020,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,264,6,1,3.329,52,1.282,275,631,2,1.187
A dança da água,2020,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,143,24,0,1.619,99,547,28,276,5,508
Adultos,2020,400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.2,233,40,1,1.401,85,857,20,159,6,811
Piano Mecânico,2020,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,14,0,0,1.278,12,70,7,273,2,64
Amor & Sorte,2020,272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,258,17,2,5.573,203,1.498,120,747,2,1.250
A Regra é Não Ter Regras,2020,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,11,4,0,628,64,14,9,76,2,80
Árvore dos Desejos,2020,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,466,5,1,3.131,78,1.771,361,513,8,1.613
A troca,2020,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,81,1,0,3.633,95,380,66,478,2,368
A Troca,2020,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,770,36,0,5.333,532,3.411,549,883,5,3.042
A Caminho da Guerra,2020,416,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,F,3.6,1,0,0,413,8,2,2,38,2,12
Nada Ortodoxa,2020,304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,28,1,0,1.583,44,179,12,196,3,146
Ruptura,2020,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.2,2,0,0,239,6,2,2,20,1,19
Cercado de Idiotas,2020,304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,3.6,1,0,0,489,9,3,2,56,2,10
Box Neil Gaiman,2020,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,1,0,1,367,3,17,3,111,1,12
A Torre de Nero,2020,336,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,206,3,3,2.930,117,1.352,196,475,2,1.075
Quase uma Rockstar,2020,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,158,110,3,3.773,102,2.665,457,1.097,55,1.958
Promessa de Pai,2020,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,F,4.4,7,0,0,294,6,30,3,37,1,24
Shine,2020,368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.9,30,1,1,962,44,176,17,140,1,160
O Refúgio,2020,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.6,9,1,0,415,0,32,2,61,1,35
Estas Verdades,2020,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,0,0,0,196,7,3,1,31,1,5
Pachinko,2020,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.6,214,5,1,3.712,187,851,192,587,2,778
A cachorra,2020,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,54,0,0,899,17,276,8,146,2,282
Vamos Sonhar Juntos,2020,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,F,4.1,1,1,0,339,6,1,0,22,0,5
O Esplêndido e o Vil,2020,324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,F,4.4,1,0,0,528,10,11,3,100,0,7
Mataram Marielle,2020,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,8,0,0,651,8,22,3,69,0,23
Royal City: Segredos em família,2020,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,14,0,0,244,1,73,7,54,1,64
O Retorno,2020,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,45,1,0,356,33,153,20,96,1,153
Princípios do Estrategista,2020,320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.8,3,2,1,349,12,12,5,13,2,11
Alexander Hamilton,2020,896,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,5.0,2,1,0,523,14,10,2,90,0,6
Laura Dean vive terminando comigo,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,100,0,0,1.887,26,490,54,311,1,464
Box Five Nights at Freddys (Trilogia Completa),2020,992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,0,0,0,134,2,4,2,21,1,6
"BOX NÃO SE APEGA, NÃO",2020,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,0,1,0,251,3,64,2,25,2,76
Não é errado ser feliz,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,72,1,2,2.603,71,359,28,392,2,307
A Segunda Vida de Missy,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,170,15,3,2.461,117,725,60,295,3,636
Quarenta e Quatro em Quarentena,2020,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,0,0,0,112,1,2,0,7,0,4
Em Águas Profundas,2020,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,F,3.5,178,11,0,3.785,171,689,14,377,3,613
O Enigma do Quarto 622,2020,526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,F,4.4,195,5,0,1.452,150,542,86,153,1,521
O Desaparecimento de Stephanie Mailer,2019,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,F,4.3,306,31,2,5.834,194,2.276,350,1.347,6,1.929
Misbehaving,2019,448,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,M,4.3,0,0,0,88,5,1,1,7,0,6
O verão que mudou minha vida,2019,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.9,728,100,8,12.510,225,12.153,928,2.356,73,8.231
Sem você não é verão,2019,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,482,62,3,5.088,163,8.280,557,1.355,32,5.953
Sempre teremos o verão,2019,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,493,85,4,4.753,143,7.265,532,1.167,29,5.244
Boy Erased,2019,320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.6,129,101,2,3.887,168,1.251,79,756,15,1.017
Boy Erased: Uma verdade anulada,2019,320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.6,129,101,2,3.887,168,1.251,79,756,15,1.017
Os prós e os contras de nunca esquecer,2019,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,143,17,0,2.552,76,1.063,169,584,6,923
O Quinto Risco,2019,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,3.5,1,0,0,131,1,14,1,33,2,10
Holocausto Brasileiro,2019,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,617,116,9,11.355,754,10.908,1.175,2.511,20,7.222
Você nasceu para isso,2019,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.5,187,11,2,2.681,66,1.163,39,429,18,1.033
O construtor de pontes,2019,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,207,39,0,5.122,189,1.382,245,1.040,7,1.120
Nove Desconhecidos,2019,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.7,189,30,1,3.392,116,1.556,73,704,5,1.298
O Que Aconteceu Com Annie,2019,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,3.8,797,95,4,7.110,465,6.272,298,1.461,15,5.187
As Crônicas de Âmbar,2019,784,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,2,0,0,0,7,0,0
Matadouro Cinco,2019,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,330,70,6,4.804,224,4.038,477,924,21,2.999
Mundo em Caos,2019,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.2,181,74,1,6.190,176,1.775,297,1.530,35,1.474
Faça Tempo,2019,304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,31,8,0,1.313,89,282,33,117,4,219
O Caso da Mansão Deboën,2019,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,3.5,79,27,1,1.763,49,645,36,261,6,545
Ainda Sou Eu,2019,320,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,710,189,13,16.780,776,13.237,1.584,2.625,40,7.757
Areia Movediça,2019,352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,3.9,107,49,0,1.674,116,761,62,260,11,649
